,Ticker,Mentions,Negative Average,Positive Average,Overall Sentiment,Top 20 Tweets,20 Quality Tweets
0,$GME,624,0.5366451612903226,0.45669005847953215,Negative,"['gme flow putcall ratio  call premium million avg d call volume k tues k avg d put volume k tues k k    k    k    targeting  expiry  strike'
 'gme blue doji catching off support with the falling wedge hinting at a potential bull run'
 'gme falling wedge forming on the daily'
 'k theres nothing else i can really say to someone who isnt listening  other than thx for trying to protect people i see the intent it chillif youre into wealth transfer from upper to middle class def check out gme'
 'so let me get this straight investors have to investigate the manipulation and provide the proof ourselves in a dumbed down fashion so they can understand isnt that their job gme'
 'increase the fine or make it timetotal market reform neededgme'
 'show me on the doll where gme touched you' 'typical gme hodler'
 'good morning everyone another day closer to moass gme power to the players'
 'ortex reporting gme max borrow increase to  k shares borrowedk returned avg '
 'gme closed at  up  from  on m shares of volume'
 'gme update  on the road   ctb min going up  a lot '
 'enroll in digital communications with and make sure you get all your proxy information online including being able to your gme in the upcoming shareholder meeting onlinesave gamestop money on printing and mailing cost and save yourself time'
 'gme apes read this' 'gamestop gme' 'markets  gme  ill take it'
 'breaking imminent market crash confirmed gme'
 'direct registering shares gme or others is the only way to keep any broker from lending out your stock to short sellers who then drive down the value of your stock shows why and how to register your shares'
 'leadership is important when i invest in something im bullish gme because of  same thing with and  im adding to that list because of  kudos homie i believe in you and the minecraft'
 'avg borrowreturn rate with the nostalgic windup gme']","['i think every squeeze is different and no possible to predict either way  i think gme is a one in a lifetime squeeze i dont know when  but they know its coming'
 'avg borrowreturn rate with the nostalgic windup gme' 'gme is on sale'
 'gme offbooks eh' 'gme weekly options are for suckers'
 'gme were just getting started'
 'gme this is good watch money pour in now'
 'gme sold my spy puts and just put profits into gme'
 'i love gme and will never sell'
 'thats cheap ive been buying no matter the price gme  lets go brother'
 'today is the last day to drs your gme shares to computershare for the shareholders vote meeting buy the ask and hodl loopring'
 'gme option to look at  call for friday april   roughly thousand dollars learn more on stockorbit link on profile'
 'gme so amc just sitting the bed'
 'gme better to be short than a dumb baggie'
 'thats respectable im  drs amp also trade gme options mostly profitably tnx gav suggestion drs one share it sends a powerful message enough raindrops cause a flood if everyone hodling gme did this wed have won already and its free most brokers my '
 'this is why gme is likely to reverse its downtrend soon'
 'and they laughed at me for going all in on gme whos laughing now'
 'market is rigged buy and hold drs gme price is wrong  have a great day everyone up down sideways doesnt fuckin matter godspeed'
 'gme  tomorrow holding calls hope we see'
 'ill take this fud article as a good sign for gme']"
1,$TSLA,2376,0.5693082706766917,0.5137554347826088,Negative,"['fortunate timing for tesla opening two ev factories berlin and austin tsla'
 'elon musks tsla cyberrodeo is tomorrow at gigatexas'
 'biden is invoking war act measures to encourage the domestic production of the minerals needed for electric vehicle production the defense production act could ultimately see companies that extract materials like lithium or cobalt receiving government funding tsla'
 'landed in austin texas  la time tsla'
 'tsla has surpassed million option contracts traded today  of those contracts are calls'
 'ok on the plane the party is starting tsla'
 'tsla from the trendline to the gapgap runs down to around'
 'tsla flow putcall ratio  call premium billion avg d call volume k tues k avg d put volume k tues k k    k    k    targeting  expiry  strike'
 'tsla  c underlying   diff bidask   interest volume iv daily  volume sector consumer cyclicaldetails  emoji legend'
 'tsla repeat doesnt rhyme but it often historys or something like that'
 'are headlines about to drop on the timing of production pet the guy whose tsla sales predictions beat analysts wme live on what hes hearing ahead of tomorrows opening'
 'tsla levels and thoughts'
 'tsla  p underlying   diff bidask   interest volume iv daily  volume sector consumer cyclicaldetails  emoji legend'
 'tsla giga berlin production reportedly in jeopardy as germany contemplates russian gas embargo via'
 'tsla is down over  this morning'
 'more than k tsla option contracts traded already  call  put'
 'tsla finishes down  to '
 'tsla similar pattern with price falling back off resistance on the daily'
 'tsla large gap down'
 'demand for evs is booming but can any brand catch tesla tsla']","['tsla  to  premkt as equities fell spx  ndx  on concerns fed would start qt in may yrty bp to  shanghai remained shut after detecting record k new asymptomatic covid cases vs k cases the day before gigatexas opening event tomorrow'
 'tsla strong supportresisting nq flushwill pop when nq bounces'
 'limited time offer get free stocks valued up to  by opening amp funding a brokerage account get started gt'
 'i would never buy it and i would never sell short charlie munger tsla'
 'tsla whats going on with this toxic waste dump today'
 'somebody help i want inplus one me please tsla teslaelon'
 'tsla sniped that bottom like a champ'
 'cyber rodeo is tomorrow and people are dumping tsla today'
 'tsla working its way down to  again ill watch how it reacts to  if we fail ill wait for sub '
 'tsla gabs on deck fomc could bring massive movement to either side not worth trading glmfers'
 'tsla weekly options are for suckers'
 'austin opens tomorrow we had record deliveries well have another record quarter and tsla is down  within hours and people are selling their shares because they see some red in the markets mms and big money are stealing your shares thats how transfer of wealth works'
 'absolutely booming economy ross just venture out anywhere america is bustling with life and these wise guys are crying heaven look at evs for instance insane demand tsla'
 '  general motors honda partner to make millions of affordable evs tsla'
 'if you dont consistently adapt learn have an open mind and evolve in life the faster youll realize your utility in this world decreases by others that do tsla'
 'sweep tsla   puts for  spot volume oi iv premium ksector consumer cyclical'
 'tsla market makers will start making your puts worthless tomorrow'
 'option play type sweepticker tslaspot strike  calls for contracts bought expiration volume open interestiv premium k'
 'tsla all the way back down to' 'whoa drop the news already tsla ']"
2,$TWTR,2222,0.5326043956043955,0.4890508474576271,Negative,"['musk admits his twitter investment isnt passive he began buying stock in januarytwtr'
 'twitter says it will begin testing a new edit feature in the coming months twtr'
 ' has been buying twtr shares on an almost daily basis since the end of january spending about b according to an sec filing discuss'
 'wonder if used robinhood or for his twtr purchases'
 'elon musks surprising twitter move inspired retail investors to pile into the social media stock like never beforetwtr saw its largest inflows ever from retail on monday and tuesday m combined via'
 'twtr pennant getting tight following the huge gap up'
 'twtr flow putcall ratio  call premium million avg d call volume k tues k avg d put volume k tues k k    k    k    targeting  expiry  strike'
 'what twtr has just done is a grand experiment in corporate governance says on joining s board they have taken their troller in chiefthe guy who trolls them the most invited him into the inner circle'
 'can anyone square these two for me twtr cc '
 'elon musk bought nearly a quarter of his twtr stake after the deadline to disclose the purchase and before he actually disclosed  weeks laterconsidering the shares jumped more than  in the sessions after disclosure he benefited from it bigly'
 'look guys elon musk was buying twtr shares almost every day and didnt tell us his fam via'
 'twtr  c underlying   diff bidask   interest volume iv daily  volume sector communication servicesdetails  emoji legend'
 'new pennies going in raw with amp  elons twitter takeover  elon x twtr  inflation  tax day apple  by'
 'will twtr close up or down on the day'
 'twtr solid squeeze out on the long side today'
 'silver lake remember came in as part when elliott started agitating a couple years ago which does mean twtr has a little bit of a history of when people are throwing rocks from the outside bringing them into the inside says'
 'how it started vs how its going twtrht'
 'what a difference a letter makes musk refiles with sec regarding ownership stake of twitter its now a d instead of g that means active stake instead of passive twtr'
 'guess what is not going to be a passive investorjust in case you needed clarificationbut what will advertisers do if twtr allows free uncensored speech oh boy  its a slippery slope'
 's reaction to twtr stakeauthor ']","['envision the not too distant future where political parties pacs and campaigns buying shares of twitter twtr attempting to have influence on the virtual town square'
 'twtr pamp' 'twtr not a good day for stocks apparently'
 'twtr   calls for  spot volume oi iv premium ksector communication services'
 'twtr buy high sell low'
 'time to fight fire with fire twtr short engaged'
 'transactions on twtraverage price per share  to' 'twtr'
 'cult stocks go green twtr'
 'twtr in germany so therefore its us dollars dont short elon musk again like what they did with tesla now its if theres no split'
 'first out twtr d filing from wednesday morning shows elon musk sold k twitter shares reducing stake from  to '
 'twtr long into short first account and short only in second accounttrade plan in room'
 'twtr im in'
 'too much activity for your sec compliance dept hope it was not because of inputs from twtr team being wrong many shadows of darkness there i fearstay strong'
 'twtr buyer beware until free speech is restored'
 'looking for that twtr  fib to hold and act as a strong accumulation zone'
 'twtr twitter gives ok for  billion stock buy back now with elon in the mix im sure we see ath soon'
 'twtr does a reverse splitmusk then owns lt musk off board'
 'twtr coil is super tight  will break out soon' 'twtr haircut']"
3,$AMC,3100,0.5664617834394905,0.42991911764705876,Negative,"['hey charlesyou recommended the weekly amc puts with the  strike on monday ththey were trading at  peak when you recommended them they expired worthlessthat position wouldve lost money every dayhere to help novice option traders'
 'amc flow putcall ratio  call premium million avg d call volume k tues k avg d put volume k tues k k    k    k    targeting  expiry  strike'
 'amc is down over  today'
 'amc potential pennant forms on the daily as price downtrends to previous support'
 'amc finishes down  to '
 'this follower makes a great point the whole amc moass theory has been a horrible trade for the apes and investors they lured in but it has been great for short sellers every bounce up fails to generate anything close to a squeeze shorts move in and extract their winnings'
 'retweet this if you still havent sold your amc shares'
 'i sent this to this morning he says he reads every message time for him to act or us as retail investors to tell him to comment openly about the shorting of  retweet this amp tag him in he cant say for legal reasons he stays quiet any longer amc'
 'everyone please share this for awareness everyone knows we have been oversold for over a year at  utilization for months but few realize just how much theyre stealing here is the year to date numbers for amc'
 'the sec complicit to market injustices amc'
 'unbelievable strength is showing on the fib line if amc survives this brutal marketwide attack this will be the bottom for a while the last time macd crossed over on the weekly was may  chart and support is bullish ignore predatory retail'
 'dear i know i tweet you a lot of ideas that you dont respond to but somehow you magically come to the same conclusion dont stop hereon april th i would love it if you bought shares of amc tell wall street to tmi amc'
 'amc it doesnt matter if you play options or not just dont sell your shares because they really need those shares to end this they can not keep selling synthetic shares to themselves they desperately need what you have they are bleeding bad'
 'i feel that amc next push is coming very soon no hype or baseless speech the price and obv broke trend when it went to  and the retrace on an excessive increase of short amp short exempt volumeand now the gamma ramp has grown to  of the free float '
 'amc wave is going to be a tsunami wave is simply watching the tide pull backif you think this is going to stay below  you have another thing coming'
 'lmao puts on amc put these nuts in ya mouth'
 'reds not dead we arent leaving till we get fuckin paid lmaoamc t let them winsoon'
 'hmmmm why is amc dropping lets see could it be the illegal naked shorts could it be the shares already dark pooled could it be the  in robbed buying pressure ken griffin is bernie madoff'
 'missed treys video yesterday came on here and everyone is talking about puts on amc started watching the video turned it off half way through no thanks ill continue to buy shares and hold'
 'amc im curious what does this look like to everyone']","['amc forming the rare doubleasscheeks pattern'
 'option trap on a friday  orhow are those puts helping amc'
 'amc i think the ftds and dark pools is whats messing up everything honestly but its probably a mixture of options too'
 'so treys recent video hes sayin diversify ur portfolio amc time to evolve way ahead of ya  still not selling but hes right tho time to take what youve learned at utilize it being in stock is like real cause in the end its just you '
 'amci cant believe buying puts narrative is going around with amc for the sake of whatever you believe in dont buy putslearn how to short iv mms are always shorting iv profitablythey pump iv goes up you buy callsputs they reduce iv options are now cheaper'
 'amc the volume look exactly like the last run before it went to   millions volume and then drop to around million and then the volume increased again and then boom  '
 'amc adam aron said he reads messages on stocktwits youd think hed make a comment after all the negative attention hes getting'
 'amc everything gets added up at endonly one winner'
 'amc waiting on whale volume if this is truly a wyckoff bulps'
 'checking in on my amc nft down less than  vs  decline in the underlying'
 'amc looks like its going through the gates of hell'
 'amcsure looks like another red day for amy'
 'amc no ones selling so it doesnt matter'
 'dont expect the expected expect the unexpected amc is a beast yes were all down again but fk that im happy bc giving us fkn discounts so be gratefulfor this fkery is only temporary will prevail we will have our moneythey will fkn cover'
 'more amc this morning up to  have my eyes on now '
 'we are just handing them more ammo options might be good on other tickers but definitely not with amc'
 'amc playing options is how mms and hedgies you know our enemies make majority of their money remember that and wonder why so many not so well known bears and negativitish posters are pushing it now'
 'send amc to the moon you can sleep on the'
 'amc i guess buying midway between the high and the low of the day isnt that bad when i bought i thought i hit the low o well'
 'im seeing all these puts tweets whos the fuckin morons thats convincing the dumbfaks to buy puts these fukcers have alot of time on their hand like whoever made this amc']"
4,$SPY,4866,0.6034590163934427,0.426751724137931,Negative,"['when spy gets short term oversold amp comes into a key level of interest like the vwap from the  low we look to the shorter timeframe to find evidence it is time to cover shorts or even scalp the long sideif we find evidence and go long we have our stop identified st'
 'spy session high'
 'vwap resistance for today holding as support so far spysome of you will say it is no value to you to look at min chart and then ask where do i anchor and complain its all hindsight this his how you learn the concepts are the same for every single timeframe'
 'did you watch the end of quarter video i did last week outlining a potential scenario for the spy vwap anticipate dont forget technical doesnt work'
 'spy  p underlying   diff bidask   interest volume iv daily  volume sector details  emoji legend'
 'spy falling wedge breakout falling back on the  price range for potential support'
 'jesus the action today its crazy market on hard mode spy'
 'spy that was dicey' 'spy  wednesday expiration'
 'spy weekly year chartdo you see what i see'
 'spy hourly rd wave continuation gap suggests  target when aligned with rally'
 'spy at the vwap from the bottom pretty important spot to see buyers step back in'
 'spy former ny fed governor dudley if stocks dont fall the fed needs to force them cnbc'
 'its time to start thinking about what higher rates are going to mean for earnings down the road its not a pretty picture look out below stay away from cyclicals spy'
 'honestly im sitting here waiting for fomc knowing basically whats about to happenwhichever way the first candle goes play the opposite ill be doing this on spywith a pop jump in putswith a drop jump in callsfomc fakeouts are so frequent theyre expected'
 'playing spy tde feels like dropping tilted towers when it first came out'
 'the start of qt was announced sept and the end announced july  during that time spy gained  and yr rose from  and then fell to '
 'spy bears are wasting no time this morningm in otm puts right after the belldo they know something about todays fomc minutes that we dont'
 'spy net premiuims it looks like buyers are starting to step in as price slowly starts to find a base calls are starting to be bought as puts are starting to close out  usually can lead to a short term push'
 'spy please tell me again how supply and demand zones dont work']","['spy red pre market and a big dark green day'
 'spy crazy when everyone is bullish expectations are high  for today'
 'spy hourly looking to capture ema  after getting above vwap '
 'spy griffon needs a hug'
 'spy fomc news was bearish imo no surprise to hear me say that im sure'
 'spy new hod' 'spy fooking send it'
 'spy this price seems too high it was  about weeks ago still a lot more room to the downside'
 'spy dont fight the fed is what all you dick riders were saying the whole way up fake cunts'
 'spy more sanctions comin to everyone but russia lol'
 'spy vwap amp sma sitting right on top of each other sitting right on top of this min candle looking for a break to to test sma'
 'spy volume spike'
 'losser symbol  spyside  bearishcategory  day trade spreadentry time   entry price  exit time   exit price  strikes  pexpiration  '
 'spy this market is beginning to create enough volatility that it is making people become badly positioned hedges get placed and removed at the snap of a finger it leads worse hedging near term for risk events that said if risk '
 'spy load the puts' 'spy channel short swing spy'
 'spy on the menu after that im ordering' 'spy volatility incoming'
 'spy bulls pump it so we can buy more cheap puts' 'spy like what']"
5,$HMHC,31,0.49397916666666664,0.4576888888888888,Negative,"['amusing to see rwallstreetbets going after the hmhc tender and aggressively purchasing  calls'
 'hmhc trade halt t was alerted to our members at pm edthalt price vol mget realtime sms alerts at'
 'hmhc  bullish option flow detected in houghton mifflin   with calls trading x expected and implied vol increasing almost points to   the putcall ratio is  earnings are expected on '
 'call flow suggests ppl looking for a higher deal price for hmhcmassive sweeps of calls for past days'
 'bought bps of this play hmhc'
 'hmhc one to watch today into tomorrow deadline to tender deal expires tonight'
 'read my new piece pulling the ss hmhc out of the harbor'
 'could you show us hmhc'
 'trading halted for hmhc houghton mifflin harcourt comp  at  et on nasdaq  halt  additional information requested by nasdaq  '
 'houghton mifflin harcourt company traded m shares  above average volume hmhc'
 'houghton mifflin harcourt company traded m shares  above average volume hmhc'
 'hmhc most active call option jun calls see hmhc option chain'
 'to the moon or to the pavement hmhc'
 'hmhc stock halted for the st time todayget more hmhc news and catalysts at'
 'hmhc tender calls dont tender is your pride worth '
 'ticker hmhcsector consumer defensive  education amp training servicesrs vs sector rs vs sp ud ratio base depth distance from breakout buy point volume  above its day avg'
 'dd with info from todays options explosion  options hmhc'
 'hmhc s delayed issued press release on april   shareholder alert weisslaw llp reminds tgna mtor hmhc and ten shareholders about its ongoing investigations'
 'chart for hmhc free options app'
 'im especially curious as a fellow large shareholder who thinks the tender undervalues hmhc']","['hmhc  bullish option flow detected in houghton mifflin   with calls trading x expected and implied vol increasing almost points to   the putcall ratio is  earnings are expected on '
 'hmhc s delayed issued press release on april   shareholder alert weisslaw llp reminds tgna mtor hmhc and ten shareholders about its ongoing investigations'
 'read my new piece pulling the ss hmhc out of the harbor'
 'you may want to get in on the hmhc action seems like your thing'
 'bought bps of this play hmhc'
 'hmhcs aroon indicator reaches into uptrend on march   view odds for this and other indicators'
 'dd with info from todays options explosion  options hmhc'
 'hmhc trade halt t was alerted to our members at pm edthalt price vol mget realtime sms alerts at'
 'could you show us hmhc' 'to the moon or to the pavement hmhc'
 'ticker hmhcsector consumer defensive  education amp training servicesrs vs sector rs vs sp ud ratio base depth distance from breakout buy point volume  above its day avg'
 'houghton mifflin harcourt company traded m shares  above average volume hmhc'
 'houghton mifflin harcourt company traded m shares  above average volume hmhc'
 'trading halted for hmhc houghton mifflin harcourt comp  at  et on nasdaq  halt  additional information requested by nasdaq  '
 'hmhc another winning alert based on our custom thinkor swim script'
 'hmhc stock halted for the st time todayget more hmhc news and catalysts at'
 'chart for hmhc free options app'
 'hmhc most active call option jun calls see hmhc option chain'
 'houghton mifflin harcourt company traded m shares  above average volume hmhc'
 'hmhc one to watch today into tomorrow deadline to tender deal expires tonight']"
6,$DWAC,237,0.5757927170868347,0.4315483870967741,Negative,"['dwac flow putcall ratio  call premium million avg d call volume k tues k avg d put volume k tues k k    k    k    targeting  expiry  strike'
 'dwac down another  in the premarketand trump still hasnt used truth social  he continues to kill his own app via apathy'
 'theres a reason dwac is tanking'
 'hope everyone bought some trump stock always a good investment dwac'
 'why is roger stone being censored from truth socialis it for blowing the whistle on the gop cocaine and sex orgiesdwac'
 'if you liked dwac at  youll love it at '
 'if twitter unbanned trump would that be the end of truth social dwac'
 'breaking dwac donald trumps truth social supposed to be a forum for free speech yet they didnt allow a account called devin nunes cow be createdwhat about a account with a anti semetic name no problemwhat a disgusting horrific platform'
 'dwac is an amazing short rn'
 'this morning  am pt i was ready to buy twitter shares at the time of doing so i did not have the moral courage to do so twitter has done a lot of damage to conservatives it was to reward the rest of the socialist investors tomorrow i will buy dwac you should do the same'
 'trumps truth social is an even bigger humiliation than his other business failuresdwac'
 'why is roger stone being censored from truth socialis it for blowing the whistle on the gop cocaine and sex orgiesdwac'
 'better late then never jim chanos finally found what weve been calling for months since  the best short in the mkt dwac'
 'dwac anyone know fully diluted mkt cap im assuming it can still go down another '
 'dwac under   time to buy or sell digital world  truth social under pressure dwac'
 'added some dwac very oversold on the daily coming into swing point on lighter volume and appears to be making an intraday reversal looking for a swing bounce to near  mental stop under '
 'dwac red to green reversal'
 'dwac  apr put underlying  difference daily  volume volume oi iv bidask '
 'meanwhile dwac'
 'dwac office is a shared we work  even they know its not going to be around wake up']","['dwac who tf is willing to drop m at  lol they just flipped it at  risky whoever that is has some brass balls'
 'ever wonder whats happening on dwac youre not missing anything'
 'dwac closeish if i had to guess to bottom would not recommend holding any shorts if anyone is still in somehow lol'
 'i think it can hold at  dwac'
 'the biggest problem with truth social dwac is that there are too many problems each one of the issues deserves a short story on its own here is some info on the toxic death spiral pipe'
 'dwac flow putcall ratio  call premium million avg d call volume k tues k avg d put volume k tues k k    k    k    targeting  expiry  strike'
 'dwac bear camp till  wake me up then not a moment soonertrade what you see'
 'dwac s delayed issued press release on april   digital world alert bragar eagel ampamp squire pc is investigating digital world acquisition corp on behalf of digital world stockholders and encourages investors to contact the firm'
 'as predicted dwac'
 'dwac all that you need to know shorts havent covered a single share'
 'anyone wanna buy some stock in trumps truth socialcheap dwac'
 'dwac just no support wheres bottom'
 'if twitter unbanned trump would that be the end of truth social dwac'
 'why is roger stone being censored from truth socialis it for blowing the whistle on the gop cocaine and sex orgiesdwac'
 'dwac guess that free fall not happening today'
 'who knew that a meme of my comedian friend hannibal burress could be used to describe dwac'
 'dwac i want next two weeks'
 'thats ok when the pendulum swings back to dwac we will welcome your money back in'
 'short dwac'
 'shorts covering bc they know they cant stop what is comingdwac']"
7,$AMD,743,0.602360465116279,0.453203125,Negative,"['amd inbound for another retest of the  price range following the hamp breakdown'
 'amd breakdown towards the  price zone following the death cross'
 'amd finishes down  to '
 'amd is pulling back putting the key  in play will it hold'
 'amd attempting to hold higher lows following the initiated death cross'
 'theres no such thing as a triple bottom amd'
 'hell no but got some amd just now'
 'amd significance of intraday supportits right there' 'amd m'
 'amd is almost ready rubs hands'
 'amd runners went for if your trying to print some money and become a self sufficient trader join the team today for as little as  our group chat pays for itselflink'
 'amd if you are buying against trend intraday assume risk is under psych level and scale in onlycc'
 'amd  puts    daytrade' 'of vs amd of today' 'amd getting the group paid'
 'ready to short amd'
 'tell me why i was just talking about this lol market always reverse at amd until it doesnt i guess'
 'traded amd per ajs notes made some quick thank you aj '
 'amd we bought some calls today in the roomand so far so good took my own advice and watched the level and bought into some strength chart shows key support below and gapfills overhead swing itbut use a stop'
 'amd tired of all the high price targets at least be realistic']","['amd short term bear trend broken we might finish green today'
 'amd thats right dont let me down'
 'amd puts over  already since the mention enjoy'
 'amd advanced micro devices  break above supply at level with continued strength for upside room to previous anchored vwap support and vpoc  breakdown of double bottom support around  with key  level as next downside target acting as a price magnet'
 'amd puts working' 'amd tripple bottom on watch'
 'amd below three major moving averages day crossed below day broke through a daily trend line today macd crossed bearish at the zero line tomorrow could be interesting'
 'amd  fill that hole' 'amd up '
 'perfect bounces amd boom doesnt get much cleaner guys level shared before market opened'
 'was thinking this as well its my favorite stock all the semis are so dang ugly right now though cant believe amd took the beating it did on that downgrade'
 'amd if you really want to make huge profits on trading then check out this chat'
 'closed the remaining put debit spread of an amd put lizard for  credit resulting in   of net max profit in days for the bearish tradewhile todays downdraft may continue its difficult to capture the lows  particularly when a trade is slated to expire soon'
 'amd stop fuckin around and get to the s its taking too long'
 'amd i love it at   year holding ' 'entered amd put breaking even'
 'watching amd for a bounce or break on  level'
 'nice i was thinking about getting back in amd bounced of support'
 'amd im ready for ' 'amd potential bear flag and brief touch of s level']"
8,$SST,383,0.5659143968871595,0.44245077720207254,Negative,"['sst  calls purchased last week returned  today that would have turned  into '
 'sst weds update ctb now at  on ibkr the highest in the market'
 'sst had gtm in deep itm options premiums purchased last minutes this is absolutely unreal'
 'sst is now on the fintel short squeeze list and on the fintel gamma squeeze leaderboard whatever is going on here is very interesting to say the least'
 'sst over m of selltoopen premium collected already do these contracts have collateral backing them probably not most likely they are sourcing liquidity by naked selling these contracts over k in exempt volume yesterday and the ceo confirmed a k float '
 'sst k flow last minutes of market open  hedging the moass'
 'sst over k worth of golden cal sweeps with a strike price of  just came in'
 'sst page of this sec filing confirms a k share float straight from the sec  the short interest is million shares  short interest do the dd yourself dont get me started with the ftds or itm calls video soon on this fraud'
 'sst holy fuckmillions of dollars worth of golden call sweeps coming in right before close'
 'sst big red to green swing ranked top short squeeze candidate on fintel  short interest  borrow cost'
 'sst weds update short interest at m  of ffthere is oi up to   of ff at   of ff leading up to  opexnow at on fintel short squeeze leaderboard on gamma squeeze still with the wrong free float pt by da davidson'
 'sst about to run it back whos still in'
 'sst million failure to delivers need to be covered again how tf are you going to buy back million shares when the float is k'
 'sst complete and utter fraud'
 'sst big call sweeps coming in now this gets more and more interesting by the hour'
 'watching sst get bid up ah is my new favorite pastime'
 'yesterday  sst ripped from  to  it retraced the majority of those gains and closed at  everyone thinks it retraced those gains due to profit taking and paper hands official finracboe data proves otherwise m of short volume is what brought it down'
 'quick explainer for the people wondering why sst isnt trading like a float it has  short interest which means most of it was sold naked this means they forcibly sold the stock short without actually finding a physical share to borrow see recent ftds meaning'
 'if youre gonna play sst into the potential ramp next week avoid the deep options they just opened up  its a ploy to collect premium and kill or near itm momentum pay a little more to buy near the price and force mms to hedge us up'
 'to be clear i have no idea what this massive sst call flow could mean i have never in my experience as a trader seen call flow this insane on a stock with a b market cap something is definitely brewingi just dont know what always be safe manage risk and take profits']","['sst another k worth of golden call sweeps with  strikes'
 'sst million failure to delivers need to be covered again how tf are you going to buy back million shares when the float is k'
 'sst buckle up ladies and gents'
 'sst not moving think againlook at calls et warrantswarrants are exploding '
 'i jumped back in this today another huge short squeeze coming the play is sst call option with strike of  with a may expiration the reddit crowd is in it also got whale flow today if you win ill take a guinness at saxers lose blame russian disinformation'
 'sst complete and utter fraud'
 'sst days left to deliver m shares free float k'
 'sst about to run it back' 'sstother website say m shares short '
 'sst strike expiration  call sstc price size time  pmpremium '
 'exactly sst finally breaking past  clean breakout over  should trigger a massive short squeeze with over  short interest thank you so much riverstrading'
 'sststop this madness  next '
 'could sst have another huge run if s corrects short  so that it is accurate'
 'nice sst still has a si over  of the currently tradable float of k fintel ranked it as the short squeeze candidate'
 'sst ive never been so excited about a stock since sprt'
 'sst about to blow again my friend ctb up to '
 'clean breakout over  next hopefully sst' 'sst ready for leg up'
 'sstand for the record no mms have not hedged yet with over  of the float itm the stock would be in the sand no shorts have not covered yet if they did the stock would have hit the s todayit did notbut today was a nice tease of what may be possible'
 'sst better be in']"
9,$AAPL,671,0.5791312741312742,0.47494240837696333,Negative,"['aapl has surpassed million option contracts traded today  of those contracts are calls'
 'aapl flow putcall ratio  call premium million avg d call volume k tues k avg d put volume k tues k k    k    k    targeting  expiry  strike'
 'aapl macd starting to curl with price forming a falling wedge on the minute'
 'aapl finishes down  to '
 'more than k aapl option contracts traded already  call  put'
 'sell signal of the year aapl'
 'if a stock like aapl is down  premkt and makes a low in the first minutes u can try it long vs that low if that low breaks u stop out then maybe minutes later it makes a new low to try vs then that one might stick after more time went by'
 'aapl breakout bsck in'
 'if you have a iphone ipadairpodsmacbook but no aapl your doing it wrong'
 'if you look at the chart pattern of aapl and the samp its one in the same'
 'one thing i was going to mention everyone in the world knows that in every bear market we have tons of explosive bear market rallies like we had over the last few weeks like the stock in the world aapl going up  in just weeks from  support to  resistance'
 'imagine if more than two people have to sell their aapl stock so they can buy food'
 'dont remember last time seeing aapl p to c ratio at wow'
 'aapl update the strike is trading at  a  gain'
 'iphone assembly giant foxconns march sales rose  yearonyear to nt billion sending st quarter sales up  to nt trillion us billion media report adding the firm said its nd quarter business outlook remains in line with market estimates aapl'
 'filled aapl long at and just added may calls on it as well'
 'apple aapl ownership among fund managers improves to a record high  bofa'
 'aapl in that spirit invites developers from around the world to come together to explore how to bring their best ideas to life and push the envelope of whats possible'
 'good call on aapl'
 'we had aapl puts in from members are eating currently up  and i got in early come join the winning team']","['check out these wwdc inspired wallpapers for your iphone ipad and mac aapl'
 'repeat bullish activity detected aapl orders for   callstotal premium kmoneyness '
 'aapl tomorrows dip is going to be scrumptious' 'buy aapl'
 'aapl has crossed below and error retrieving data check manually for the m intverval am'
 'ook aapl reverse here thx'
 'aapl apples annual developers conference begins june again virtually'
 'aapl finishes down  to '
 'aapl this isnt holding up well so far at all ah'
 'automated hourly aapl sentiment report     product series reviews     general products  company news  social media   utc'
 'stocks only go up you know thisneed a big day from aapl'
 'apple now offering face id repairs for iphone x without replacing the entire device aapl'
 'aapl i wish i sold all my share right here look signature here x____ ryaltea ______'
 'chart for aapl free options app' 'aapl no worries'
 'dark pool printsymbol aaplsize m sharesprice total m'
 'boooooomaapl pump and dump' 'aapl jan  calls only sweet acquisition'
 'twitter confirms it has been working on the longawaited edit button aapl'
 'readded aapl calls']"
