,Unnamed: 0,id,ticker,created_at,full_text_preprocessed,user.verified,favorite_count,retweet_count,quality,entities.symbols,num_cashtags,query_params
34727,17093,1511436803349397514,$SST,Tue Apr 05 20:13:09 +0000 2022,sst gem out of nowhere,False,2,1,False,"[{'text': 'SST', 'indices': [0, 4]}]",1,query:$SST -$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511131501156577280 until_date:2022-04-06 max_tweets:10000
40695,684,1511845104104878083,$TSLA,Wed Apr 06 23:15:36 +0000 2022,not as much as tsla,False,5,1,False,"[{'text': 'TSLA', 'indices': [15, 20]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511493889013727239 until_date:2022-04-07 max_tweets:10000
42524,2513,1511666166338670595,$TSLA,Wed Apr 06 11:24:34 +0000 2022,all it took was one account screenshot and the stonk is down like points tsla,False,25,0,False,"[{'text': 'tsla', 'indices': [79, 84]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511493889013727239 until_date:2022-04-07 max_tweets:10000
57872,17861,1511796506201894914,$QQQ,Wed Apr 06 20:02:29 +0000 2022,qqq weekly hamp,False,2,1,False,"[{'text': 'QQQ', 'indices': [0, 4]}]",1,query:$QQQ -$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511493889013727239 until_date:2022-04-07 max_tweets:10000
2949,2949,1510360356702597122,$AMC,Sat Apr 02 20:55:44 +0000 2022,theres more than naked shorting happening with  retail still own the float ampevery share of the free float has been shorted at least x in the last yr wo ever having once been bought back amp returned theres a short bubble in amc ready to pop shorts have yet cover,False,11,0,False,"[{'text': 'AMC', 'indices': [270, 274]}]",1,query:$AMC -$GME -$TSLA -$TWTR -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10000
13185,2085,1510284992160534528,$TSLA,Sat Apr 02 15:56:16 +0000 2022,tsla q number  produced over vehicles and delivered over vehicles despite ongoing supply chain challenges and factory shutdowns,False,93,7,False,"[{'text': 'TSLA', 'indices': [0, 5]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10000
26241,8607,1511153125042061312,$TWTR,Tue Apr 05 01:25:55 +0000 2022,twtr i wouldnt be surprised if theres another filing tomorrow showing elon is buying even more this is about to get crazy,False,2,0,False,"[{'text': 'TWTR', 'indices': [0, 5]}]",1,query:$TWTR -$GME -$TSLA -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511131501156577280 until_date:2022-04-06 max_tweets:10000
43811,3800,1511731447748612100,$TWTR,Wed Apr 06 15:43:58 +0000 2022,twtr bounce time here,False,4,0,False,"[{'text': 'TWTR', 'indices': [0, 5]}]",1,query:$TWTR -$GME -$TSLA -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511493889013727239 until_date:2022-04-07 max_tweets:10000
16859,5759,1510305106893410311,$NVDA,Sat Apr 02 17:16:12 +0000 2022,nvda they will be involved in basically every new technology for decades to come,False,3,0,False,"[{'text': 'NVDA', 'indices': [17, 22]}]",1,query:$NVDA -$GME -$TSLA -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10000
20037,2403,1511332503470194692,$TSLA,Tue Apr 05 13:18:42 +0000 2022,tsla demand is key for decision watch for possible range day between ,False,10,0,False,"[{'text': 'TSLA', 'indices': [0, 5]}]",1,query:$TSLA -$GME -$TWTR -$AMC -$SPY -$HMHC -$DWAC -$AMD -$SST -$AAPL -$AMZN -$NVDA -$TLRY -$NFLX -$QQQ -$PLTR -$FB -$BABA -$VIX -$SOFI -$TEAM -$RBLX -$RSX -$WISH -$OSU -filter:retweets since_id:1511131501156577280 until_date:2022-04-06 max_tweets:10000
